id;Title_1;Content_1;Title_2;Content_2;Label
10;Make the device name for attached disks equal to the disk name making provisioning disks easier;No description provided.;Add additional options to google provider;This PR adds disk device names and ability to create disks from snapshots;1
11;Add support for SNS topics;"Chips away at . This would have been the simplest thing in the world to do were it not for one uh feature of the SNS API. There is no way to describe or filter for an individual topic.
Instead you have to page results back from a complete topic list and unlike autoscaling groups whose paging limit is something like the paging limit for SNS topics is . I didn't feel right not supporting result paging here it's entirely possible a TF user could have more than SNS topics if they really love the product so I wrote a pager.
The file is snstopicseeker.go and implements a basic state machine whose design will look mighty familiar if you've ever seen this presentation by Rob Pike or read the source code to texttemplateparselex.go in the stdlib. It's basically a slimmed down implementation of the same pattern and I've covered it with a bunch of unit tests to make sure it works and works well.
For what it's worth I think it could be abstracted to an interface and used to page anything in AWS that returns a NextToken but I didn't want to build a generalized version if this is the only AWS resource that'll use it.
Anyway let me know if there are any problems here. I'm going to add SNS topic support to AS groups too per but that file's a bit complex and I didn't feel like biting it off quite yet. I need it though so I'll try to finish it off later this week.";Initial SNS topic subscription support;Initial SNS topic and subscription support;1
12;providergce Convert instance scopes to TypeSet;"providergce Convert instance scopes to TypeSet
The GCE API or library always returns service account scopes in a
predefined order. So if you specify the following config
serviceaccount     You will get the following change on every apply   Fix this by converting scopes from TypeList to TypeSet. This ensures that
we have the correct entries by ignores the order that they appear in. providergce Acceptance test for serviceaccount  Add a new acceptance test for googlecomputeinstance.serviceaccount
which will confirm the change I'm about to make to convert it from
TypeList to TypeSet will work. Since I already broke it during my
manual testing.
This didn't seem related to any of the existing tests so I've created a new
one. Although this will increase the runtime of the acceptance test suite.
I also can't see that any of the existing tests do comparisons of sets e.g.
making sure that there aren't more tags or disk than we have specified. So I
have stuck with this convention and am just testing for the scopes that have
been specified.
The exception to this is the number of ServiceAccounts entries. We
currently only support one so we can error if we have more or less than
this number.

Things I'm unsure about

is a separate acceptance test OK
should the test be more thorough
should it test that it's idempotent on the second run Is that possible
I assume this doesn't need a state file migration

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Use a set for service account scopes. Fix;No description provided.;1
13;provideraws Add IAM Server Certificate resource;"Adds a new AWS Resource IAM Server Certificate

httpdocs.aws.amazon.comIAMlatestUserGuideManagingServerCerts.htmlVerifyCertObject

Server certs uploaded to IAM can be used in a few places

AWS Elastic Beanstalk
Elastic Load Balancing
CloudFront
AWS OpsWorks

Adding docs now wanted to open for any thoughts from phinze
UPDATE docs added squashed";Improve idempotency of awsiamservercertificate provisioning;"This pull request addresses issue . A brief recap follows
When Terraform pulls down state data about AWS IAM certificates in its purview it normalizes the certificate body by trimming whitespace from it and taking a SHA hash of the resulting string. This works well for dealing with newline characters at the end of a certificate however this logic does not apply to the certificate chain. A change to the certificate chain is enough for Terraform to rebuild the resource. The combination of these two circumstances means that if one has an IAM certificate with a chain in their Terraform configuration terraform plan will always require some action even if everything appears to be in sync.
This pull request normalizes the certificate chain in the same way as the certificate body. While the major gains are in the use of strings.TrimSpace the SHA hashing is nice to have as well. In passing the integration test for this resource has been updated to include a selfsigned certificate bearing a CA chain.";1
14;AWS SQS policy normalization;"Apply existing normalizeJson as StateFunc to SQS policy to prevent AWS from detecting policy changes when stripping whitespace characters. Labeled as bug in . Different resource but appears to be a similar issue in as well.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";provideraws Normalize and compact SQS Redrive Policy JSON;"The redrivepolicy needs to be normalized on save to state and we now document that the maxReceiveCount should be an integer not a string. Unfortunately the AWS API accepts either but will always return an integer.
Fixes";1
15;provideraws Fix OnceADayWindowFormat Validator;"If an attribute that would normally be validated by validateOnceADayWindowFormat is an empty string in every case AWS supplies a default time window to use.
Thus an empty string for these attributes is a valid value.
Fixes 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";provideraws Add epsilon to the regex date validation;"Allows empty values for dates
Fixes 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
16;provideraws Network Interface private ips can be computed;Fixes;Compute private ip addresses of ENIs if they are not specified;"As AWS will assign the ENI an address
Addresses 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
17;Implement restart policy support in Docker provider.;"Fixes 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";docker provider additions;"Adds the following functionality to the dockercontainer resource

support for setting the entrypoint
support for setting the restart policy off|onfailure|always
support for setting memory memoryswap and cpushares runtime constraints
support for docker labels
support for logdriver and logoptions
includes HostConfig when creating container";1
18;WIP providerazurerm add dns zone resource;"Scaffold the ARM DNS Zone resource

 Schema
 CRUD
 Acceptance Tests
 Documentation

Test Results

Unfortunately there seems to be a bug in the Azuregosdk right now Azureazuresdkforgo
This will need fixed before I can fix this";providerazurerm Add azurermdnszone resource;This resource is the first which makes use of the new Riviera library at httpsgithub.comjenriviera so there is some additional set up work to add the provider to the client which gets passed among resources.;1
19;switch to updated awssdkgo credentials;"Seems awssdkgo has changed a bit..
rant golang dependency management or lack thereof sucks should we vendor deps";Small fix needed to be inline with the updated AWS SDK again...;"Executed a couple of AWS ACC test as well to make sure everything works properly again after this fixà
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
20;Update Travis to use Go .;No description provided.;Fixing Go Vet errors;No description provided.;1
21;provideraws CloudFront Distribution;"Schema
 Create Implementation
 Read Implementation
 Update Implementation
 Delete Implementation
 Acceptance Tests
 Docs

Seems like a few other folks started doing this before and didn't finish. I'm hoping I can do better by focusing only on the primary functionality in this first changeset and then progressively more features in subsequent changesets.";WIP provideraws CloudFront;"Created a new PR as this is a rewritten implementation of my earlier attempt. The only feature not supported are multiple origins and behaviors.
Also worth noting is the fragility of the CloudFront API. Whenever a new attribute is addedDefaultTTL was added this summer they are optional when creating the resource but not when updating an existing resource. Hopefully this does not happen too often.
previous PR 
radeksimko justincampbell dalehamel";1
22;instanceprofile is a required parameter when creating an EMR instance group;"When creating an EC instance group to process data in an EMR cluster
specifying instanceprofile as an attribute inside ecattributes is
mandatory it would appear.
Not setting it results in an error from Terraform complaining that it isn't
set and the AWS SDK for Go appears at least in my interpretation not to
default it anywhere
httpsgithub.comawsawssdkgoblobmasterserviceemrapi.go
This PR also includes some basic style and grammatical fixes.";docsaws Fix the discrepencies of the emrcluster documentation;Fixes;1
23;provideraws expose Route zone nameservers;"
This PR attempts to expose the NS elements of Route zone. Refs";Expose Route zone nameservers for parent zone NS record;No description provided.;1
24;provideraws Added the ability to import awsiamrole's;Not much to it needed this to build a tf configuration for our core configs.;Allow importing of awsiamrole awsiamrolepolicy awsiampolicy and awsiaminstanceprofile.;No description provided.;1
25;AWSRouteZone create private hosted zone associated with VPC.;"Add ability to create a private Hosted Zone that is associated to a VPC.
Currently only supports a single VPC at creation time.
Future question is how to support multiple VPCs. Amazon uses a AssociateDisassociate request however this is problematic since you must specify one and only one VPC during creation.
Alternatively we could model it as a VPC Set and and use the first entry as the entry for creating and then associate the others.";providersaws resource awsroutezoneassociation;"wip adding awsroutezoneassociation as
resource awsroutezoneassociation foobar 
 vpcid foo
 zoneid bar
 region uswest
";1
26;Propagate AWS CodePipeline action roles;"CodePipeline stage actions can optionally specify an IAM execution role. The provider nominally supports them but they don't seem to be getting passed tofrom AWS.
Please forgive any nonidiomatic Go syntax. It is not in my wheelhouse.";Allow a codepipeline action to specify a rolearn;"The codepipeline resource allows an action to specify a rolearn. However that role is never passed to AWS. This PR fixes that behavior.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
27;Breaking security group rules out into it's own resource to address;No description provided.;provideraws Add Security Group Rule as a top level resource;"First attempt at making Security Group Rules ingress egress top level resources.
This is raw like sushi and probably needs refinement but it's a good start.
Missing

 documentation

cc phinze";1
28;get profile name even if profile path exists;When terraform started persisting the instance profile name to the state the code used the second part of the instance profile ARN split on where it should be using the last part of the ARN split on;splitting an IAM ARN into a Name should return the last element;"My awsiaminstanceprofile had a path of appsservice and a name of ServiceProfile. When I build new instances the tfstate file saved the value incorrectly.
iaminstanceprofile apps

When running terraform plan I continued to get this.
iaminstanceprofile apps ServiceProfile forces new resource

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
29;provideraws Fix issue with updating VPC Security Group IDs for an Instance;"Currently we aren't correctly setting the ids and are setting both
securitygroups and vpcsecuritygroupids in the state. As a result we really only use
the former but the latter never goes away in the state file 
We also don't actually update the remote security groups in the update method.
This PR fixes both issues correctly reading securitygroups vs.
vpcsecuritygroupids and allows users to update the latter without
destroying the Instance when in a VPC.
Should fix";provideraws fix EIPs on new upstream sdk;"As we've seen elsewhere the SDK now wants nils instead of empty arrays
for collections
fixes 
thanks jstremick for pointing me in the right direction
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
30;Aws volume size;This resolves and allows for larger volume sizes on aws instances.;AWS Instance blockdevice Attribute;"Added the ability to specify block devices for an AWS instance.
blockdevice 
 devicename devsda
 volumetype gp
 volumesize 
";1
31;provideraws require db option group name to be lower case;"AWS is automatically changing these names to lower case as described in 
This is causing errors when terraform apply is rerun.
I don't believe this needs any documentation updates.
Closes";provideraws awsdboptiongroup normalizes name to lowercase;"This fixes . The code here lowercases the name andor prefix before sending it to the AWS API and the terraform state. This means the state will match the actual resource name and be able to converge the diff.
Other providers might validate and throw an error or warning instead of just letting it work but this is consistent with awsdbinstance. If this is the wrong approach I can use a validator instead.
I've also updated all the tests to include uppercase letters which might be overkill.";1
32;providerazurerm Fixes for azurerm subnet properties;"Partially fixes GH
So far this implements the setting of address range route table association and network security group association for azurerm subnet resource.
There is still failure when going from a set resource to none for route tables and nsg e.g.
resource azurermsubnet test 
 name testsubnet
 resourcegroupname azurermresourcegroup.test.name
 virtualnetworkname azurermvirtualnetwork.test.name
 addressprefix ...
 routetableid azurermroutetable.test.id
 networksecuritygroupid azurermnetworksecuritygroup.test.id


to
resource azurermsubnet test 
 name testsubnet
 resourcegroupname azurermresourcegroup.test.name
 virtualnetworkname azurermvirtualnetwork.test.name
 addressprefix ...
 routetableid 
 networksecuritygroupid 


 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";providerazurerm support importing of subnet resource;"TFACC go test .builtinprovidersazurerm v run TestAccAzureRMSubnet timeout m
 RUN TestAccAzureRMSubnetimportBasic
 PASS TestAccAzureRMSubnetimportBasic .s
 RUN TestAccAzureRMSubnetbasic
 PASS TestAccAzureRMSubnetbasic .s
 RUN TestAccAzureRMSubnetdisappears
 PASS TestAccAzureRMSubnetdisappears .s
PASS
ok github.comhashicorpterraformbuiltinprovidersazurerm .s

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
33;provideraws Add support for AWSConfig service;"TODO

 Implementation of awsconfigconfigurationrecorder
 Implementation of awsconfigconfigurationrecorderstatus
 Implementation of awsconfigdeliverychannel
 Implementation of awsconfigconfigrule
 Docs for awsconfigconfigurationrecorder
 Docs for awsconfigconfigurationrecorderstatus
 Docs for awsconfigdeliverychannel
 Docs for awsconfigconfigrule
 Acceptance tests for awsconfigconfigurationrecorder
 Acceptance tests for awsconfigconfigurationrecorderstatus
 Acceptance tests for awsconfigdeliverychannel
 Acceptance tests for awsconfigconfigrule
 ValidateFunc functions on all fields of all resources where it makes sense
 Import of all resources tests
 Guard against deletion of all resources outside of Terraform";WIP provideraws Add support for AWS Config service;"Finishing off the work started by stack in 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
34;provideraws adding support for SQS queues;"Disclaimer I'm pretty new to Go but this seems to be working in my tests for addingeditingdelete a queue. It also passed make test but I might be doing things wrong
This adds basic SQS functionality to createeditdelete a SQS queue. Right now it doesn't support anything like dead letter or permissions.
Let me know if anything really bad or something I missed sticks out";Initial SQS support;"Initial support for making updating removing SQS queues feedback welcome.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
35;Use the new AWSClient.accountid when generating ARNs;With the merge of we are now able to leverage the onetime collection of the AWS account id rather than trying to fetch it from multiple places in the code.;provideraws Change the way ARNs are built;"ARNs used to be build using the iamconn.GetUser func call. This wouldn't
work on some scenarios and was changed so that we can expose the
AccountId and Region via meta
This commit just changes the build ARN funcs to use this new way of
doing things
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
36;google Expand tilde in accountfile path;"This will allow the following
provider google 
 project yadayada
 region uscentral
 accountfile .gcloudanything.json

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";providersgoogle Change accountfile to expect a JSON string;Using the Google provider from Atlas if currently not possible without committing the accountfile to version control or only using terraform push. This adds accountfilecontents to allow specifying the contents of the accountfile in an environment variable encrypted on Atlas.;1
37;Bug Only prefix hashcode with TypeSet diff marker.;"This fixes the immediate problem discussed in by limiting the hyphen to tilde substitution with computed hashcodes only.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";helperschema allow set items with hyphens;"Fixes 
This fixes the way we replace with in computed sets to only consider the code. This allows set items with hyphens to work. They somewhat hilariously and sadly didn't work before.";1
38;providergoogle Move checking into a function in provider.go call it from instance and IGM;Initial PR for . It fixes the specific concern by adding in checking for resourcecomputeinstancegroupmanager and also shows the new function being reused in resourcecomputeinstance note that it also exposed a bug if there is a we should return nil instead of an error. If this looks good I'll check it in and then open up a separate PR for the rest of the resources.;Handle googlecomputeinstancegroupmanager not being found;"Mark the resource as no longer available.
Fixes .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
39;helperschema Make nested Sets in Lists work;"This is a second patched version of which had to be reverted because some acceptance tests were failing as part of the nightly run.
Related to 
Supersedesfixes 
Blocking 

The only difference from the original PR is the last commit fbe.

I managed to reproduce schema diff edge cases from the failing tests in aws provider and fix those. I added new unit tests to cover this new functionality.
I ran the previously failing aws acceptance tests all are now passing. I also ran first aws of total acceptance tests which all eventually passed.
I don't have a Fastly account so I would appreciate if someone could double check all acceptance tests are passing there too and generally run the whole shebang once again with this patch possibly before merging.";WIP Update cloudfront behaviors to behave like lists and allow for ordering;"

Updated references to sets instead of lists
Updated tests so they pass
Successfully added ordered rules to cloudfront

However some setbacks
Still encountering a bug that maybe someone can help me with... I get an index out of bounds exception when I run terraform apply due to this line
cloudfrontdistributionconfigurationstructure.go
ForwardedValues expandForwardedValuesmforwardedvalues.schema.Set.List.mapstringinterface 
There may also be a bug in fieldreader.go addrToSchema. I'm not sure that code is robust against crazy combinations of nested sets and lists.
TODO

Fix index out of bounds exception
Write new tests for this behavior
Update documentation about the new syntax for cachebehaviors
If necessary concoct some migration plan from sets to lists... Then again seemed to maybe work fine just making the changes to the tf file Maybe to be safe we can keep support for the set in a deprecated way.";1
40;Correct Proxy setting for openstack provider issue;"Correction of the Issue to use openstack provider trought a proxy.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";enabled openstack plugin reading env values;No description provided.;1
41;provideraws fix the datasource awsroutetable support for id argument;"This PR implements the id argument in the datasource awsroutetable.
But I hava an issue in the tests
vagrantterraformoptgopathsrcgithub.comhashicorpterraform TFACCtrue go test v github.comhashicorpterraformbuiltinprovidersaws run TestAccDataSourceAwsRouteTable
 RUN TestAccDataSourceAwsRouteTable
 FAIL TestAccDataSourceAwsRouteTable .s
	testing.go Step error After applying this step and refreshing the plan was not empty

		DIFF

		UPDATE data.awsroutetable.byfilter
		 associations. computed
		 filter. 
		 filter..name association.routetableassociationid
		 filter..values. 
		 filter..values. rtbassocdf
		 routes. computed
		 subnetid computed
		 tags. computed
		 vpcid computed
		UPDATE data.awsroutetable.byid
		 associations. computed
		 routes. computed
		 subnetid computed
		 tags. computed
		 vpcid computed
		UPDATE data.awsroutetable.bysubnet
		 associations. computed
		 routes. computed
		 subnetid subnetdebea
		 tags. computed
		 vpcid computed
		UPDATE data.awsroutetable.bytag
		 associations. computed
		 routes. computed
		 subnetid computed
		 tags. 
		 tags.Name terraformtestaccroutetabledatasource
		 vpcid computed

		STATE

		awsroutetable.test
		 ID rtbcbffa
		 propagatingvgws. 
		 route. 
		 tags. 
		 tags.Name terraformtestaccroutetabledatasource
		 vpcid vpcf

		 Dependencies
		 awsvpc.test
		awsroutetableassociation.a
		 ID rtbassocdf
		 routetableid rtbcbffa
		 subnetid subnetdebea


Can you explain me how to fix this please 
Thanks
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";provideraws Add missing id argument for Route Table data source;"Documentation for the awsroutetable data source mentions that it supports a route table id as an argument however it was missing from the actual provider code.
Adds in the missing provider code adds a test and updates the documentation to use rtbid as the argument instead of the more ambiguous id.";1
42;add resource awsrdsclusterparametergroup;"This PR adds support for RDS Cluster Parameter Groups see . It's more or less a carbon copy of awsdbparametergroup.
I have a small question regarding error handling. awsdbparametergroup compares against DBParameterGroupNotFoundFault not DBParameterGroupNotFound which is the error code I've been observing in docs and during tests. Is that correct I'm using DBParameterGroupNotFound for now.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Aurora rds;"This is pull request to add aws rds db cluster parameter group function.
GH
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
43;provideraws Support S bucket object upload with AES serverside encryption;"Add optional awssbucketobject boolean encrypt attribute to allow AES serverside encryption modeled after the S Remote State Backend
If encrypt true and no AWS KMS Key ID is specified then a serverside encryption value of AES is used
Setting a value for kmskeyid implicitly sets encrypt true
Update documentation
Add new acceptance test

 make testacc TEST.builtinprovidersaws TESTARGS'runTestAccAWSSBucketObjectsseaes' 
 Checking that code complies with gofmt requirements...
go generate go list .... | grep v terraformvendor
 Generated commandinternalpluginlist.go
TFACC go test .builtinprovidersaws v runTestAccAWSSBucketObjectsseaes timeout m
 RUN TestAccAWSSBucketObjectsseaes
 PASS TestAccAWSSBucketObjectsseaes .s
PASS
ok github.comhashicorpterraformbuiltinprovidersaws .s


Verify no regression

 make testacc TEST.builtinprovidersaws TESTARGS'runTestAccAWSSBucketObjectkms' 
 Checking that code complies with gofmt requirements...
go generate go list .... | grep v terraformvendor
 Generated commandinternalpluginlist.go
TFACC go test .builtinprovidersaws v runTestAccAWSSBucketObjectkms timeout m
 RUN TestAccAWSSBucketObjectkms
 PASS TestAccAWSSBucketObjectkms .s
PASS
ok github.comhashicorpterraformbuiltinprovidersaws .s

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";S Bucket Object Sever Side Encryption;"This PR sees support for server side encryption added to s bucket object resources. This functionality is equivalent to
aws s cp sse awskms source destination

which facilitates using S default master key for server side encryption.
Associated acceptance testing and documentation has been included.";1
44;Update buffer swap test to use better variable names;"testsparallelbufferswap.js has all variables defined at the top level scope and hence the variable names are variations of buf buf buf etc.
This PR puts each setupassertion code block into its own block and renames the variables to be easier to read.
Checklist


 make j test UNIX or vcbuild test Windows passes
 commit message follows commit guidelines

Affected core subsystems

test";test use block scope in testbufferswap.js;"Checklist


 make j test UNIX or vcbuild test Windows passes
 tests andor benchmarks are included
 documentation is changed or added
 commit message follows commit guidelines

Affected core subsystems";1
45;readline concievably typo in readline.js;close;readline corrected concievably spelling;"corrected the spelling of concievably in readline.js to conceivably
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";1
46;doc fix out of date napicallback doc;"The earlier version napicallback returns void but now is napivalue. The document of this section hasn't been modified.
Fixes 
Fixes 

Checklist


 make j test UNIX or vcbuild test Windows passes
 documentation is changed or added
 commit message follows commit guidelines

Affected core subsystems

doc napi";doc fix a few napi doc issues;"Add doc for napicreatestringlatin.
Fix signatures where c string was specified instead of napivalue.
Fix return type of napicallback.
Update to specify that napiescapehandle can only be called once
for a given scope.

Fixes 
Checklist

 make j test UNIX or vcbuild test Windows passes
 documentation is changed or added
 commit message follows commit guidelines

Affected core subsystems
doc napi";1
47;upgrade npm to ..;"Checklist

 tests and code linting passes
 a test andor benchmark is included
 documentation is changed or added
 the commit message follows commit guidelines

Affected core subsystems

deps

Description of change
The biggest thing in this release is that it fixes the tests on Windows.
There are a couple of Windows related bug fixes that were exposed by fixing the tests on Windows. Notably

The use of npm explore to run a command from the directory of a dependency didn't work correctly on Windows.
npm init and others that inferred the module name from the path failed with scoped modules on Windows.
Removing globally installed bins for scoped modules previously failed on Windows. And was incorrect but working byaccident elsewhere.
Correct npm cache ls to output real filenames?Çô previously it sometimes mistakenly double the package name in the path resulting paths that don't exist.
npm now warns if you paste in a command line that uses nonascii dashes like emdashes or endashes as this is almost certainly not intended.

And one new feature

If we got a cachehit for module metadata but the version requested does not exist in the metadata we then explicitly ask the registry for updated metadata. This removes one of the primary pain points of using a very high cachemin.

Changelogs

v..

Reviewers
r zkat
r thealphanerd
r Fishrock";deps upgrade npm to ..;"Checklist


 tests and code linting passes
 a test andor benchmark is included
 documentation is changed or added
 the commit message follows commit guidelines

Affected core subsystems

deps
Description of change

Hey y'all
This is a fairly small release that includes two npm versions. Nothing particularly worth noting about these other than some documentation updatestest tweaks except that this includes thealphanerd's patches to make sure .nycoutput didn't get included in the release tarball which was done as a oneoff point release.
Changelogs

..
..

r iarna
r thealphanerd
r Fishrock";1
